id,is_iceberg
5941774d,0.001632601
4023181e,0.0064522624
b20200e4,0.0
e7f018bb,1.0
4371c8c3,0.0
a8d9b1fd,0.25909442
29e7727e,0.0
92a51ffb,1.0
c769ac97,0.0
aee0547d,0.0
565b28ac,0.0
e04e9775,0.034403384
8e8161d1,0.0
4cf4d256,0.91389704
139e5324,0.0
f156976f,0.0
68a117cc,0.0
d9aa7a56,0.0
9005b143,1.0430813e-06
5f6d3988,0.010179877
9ad70954,0.043516815
b9087b9e,0.82112217
a39a1427,2.9802322e-08
82fbe8ed,1.3440847e-05
1fae4879,0.0
6dd8f13d,0.0
bbad5958,0.0
54527583,0.007150322
be8fa29c,0.0001693368
81a3328f,1.0
1a3c0ab3,0.0
4deeeb8b,0.0
ac6d5632,0.00029620528
472dadb5,0.30430776
96093f95,0.00077462196
f5b4e3df,0.0052914917
e01a3c92,0.0
001680af,0.9998579
8e639f33,0.19218752
a2c16612,1.0
a6d76474,0.0
19c47684,3.0994415e-06
015827b6,0.015994877
7df7f7ce,0.0
0bbf1a3f,0.04719487
636cfbb7,1.0
7370030a,1.0
43aa97ad,0.0
ba2b5e63,1.0
dfdd335b,0.00030180812
e79b13dc,0.0
dc32b195,0.003480643
6d868590,0.9987266
75fa59aa,0.0
ffe50836,0.0
a7bfd784,0.9999999
b3d569e3,0.00040066242
6c538c5b,0.0004208088
5c7c15f4,0.0
0b745139,0.0
fd14608e,0.0010611415
f0bc8305,0.6473811
a10ccb28,0.9999995
543304c7,0.006618142
6c3a4078,0.0
9b73cc75,0.99566555
5c6c71b1,0.0
09ee9186,0.0
207c35cf,0.00014322996
153c813e,0.0
5605d58b,0.0
642ca396,2.9802322e-07
d32d72c0,0.79638267
16646a17,0.9999998
384074af,0.0
69bf1e8c,0.13638529
9e90a054,0.00031846762
89dbe7f7,0.99999946
dbd27d22,0.0
a2ea1561,0.56160486
d63402af,0.014628202
1ac8bb92,1.0
8beffca5,0.02782619
46741f3e,0.0
e5ee6aa7,0.0
5ecd892b,0.91969156
69892166,0.0
2f725a81,0.0
810abfe4,0.0
e6f973e6,0.96874094
c60a5c46,0.0
c42b9e08,5.0395727e-05
c3f00c23,0.0
5307fdb8,1.0
